ACT_SEGREG,AREA_HA,AREA_M2,ARROJO_RR1,ARROJO_RR_,CANT_RRSS,CATEGORIA,CRIANZA_AN,DEN_BOT,DEPARTAMEN,DISTRITO,ESTE,Index,M_ADM_BOT,M_DISP_RRS,NORTE,PERIMETRO,PROVINCIA,QUEMA_BASU,ZONA
No,0.75084394,7508.43940496,No,Si,3348,Recuperación,No,Botadero Llacllacan,Ancash,Corongo,180994.0,213,Municipalidad provincial de Corongo,Municipalidad provincial de Corongo,9050078.0,442.40616794,Corongo,Si,18
No,0.15524794,1552.47938916,No,No,"0,015",Recuperación,Si,Botadero Los Lloques,Ancash,Bambas,830122.0,377,Municipalidad distrital de Bambas,Municipalidad distrital de Bambas,9049250.0,155.11896235,Corongo,Si,17
No,0.02066982,206.69821726,No,No,"0,072",Recuperación,Si,Botadero Quebrada Picha Jirca,Ancash,Yanac,184650.0,770,Municipalidad distrital de Yanac,Municipalidad distrital de Yanac,9045969.0,65.19658128,Corongo,Si,18
No,0.14241571,1424.15706732,No,No,"0,25",Recuperación,Si,Botadero Quebrada Huayaracra,Ancash,Cusca,184345.0,912,Municipalidad distrital de Cusca,Municipalidad distrital de Cusca,9057566.0,152.24887114,Corongo,Si,18
No,0.04370677,437.06767922,No,No,"0,079",Recuperación,Si,Botadero Sector Cruzirca,Ancash,Aco,182948.0,1221,Municipalidad distrital de Aco,Municipalidad distrital de Aco,9056692.0,88.16066714,Corongo,Si,18
No,0.35101401,3510.14010503,No,No,1,Recuperación,No,Botadero Quebrada Huampish,Ancash,La Pampa,179161.0,1417,Municipalidad distrital de La Pampa,Municipalidad distrital de La Pampa,9038910.0,248.89950339,Corongo,Si,18
No,0.04307723,430.77227682,No,No,"0,08",Recuperación,Si,Botadero Trintis,Ancash,Yupan,173097.0,1489,Municipalidad distrital de Yupán,Municipalidad distrital de Yupán,9046358.0,86.90893664,Corongo,Si,18
No,0.03201929,320.19290681,No,No,"0,100",Recuperación,No,Botadero Sector Jama,Ancash,Pampas Grande,190064.0,1384,Municipalidad distrital de Pampas Grande,Municipalidad distrital de Pampas Grande,8932681.0,68.01501772,Huaraz,Si,18
No,0.08035881,803.58805547,No,No,"0,036",Recuperación,No,Botadero Santa Cruz,Ancash,Huanchay,190509.0,1387,Municipalidad distrital de Huanchay,Municipalidad distrital de Huanchay,8924096.0,114.82549248,Huaraz,Si,18
No,0.21689405,2168.94046575,No,Si,"0,071",Recuperación,No,Botadero Municipal,Ancash,Cochabamba,185364.0,1450,Municipalidad distrital de Cochabamba,Municipalidad distrital de Cochabamba,8948935.0,173.28019332,Huaraz,Si,18
